Betas:
CE O	   443.9339 16   	     1.39E-5 % 5 	  6.16E-8 20 
CE O	   443.98 17   	     5.39E-6 % 21 	  2.39E-8 9 
CE K	   446.71 4   	     1.15E-4 % 5 	  5.15E-7 24 
CE K	   449.73 24   	     2.2E-5 % 8 	  1.0E-7 4 
CE L	   474.59 5   	     1.9E-4 % 4 	  9.0E-7 20 
CE K	   476.30 5   	     2.0E-4 % 6 	  9E-7 3 
CE L	   480.9424 21   	     8.08E-4 % 14 	  3.89E-6 7 
CE L	   485.80 4   	     1.53E-5 % 7 	  7.4E-8 3 
CE M	   486.9564 22   	     1.77E-4 % 3 	  8.61E-7 14 
CE N	   488.3335 22   	     3.96E-5 % 7 	  1.94E-7 3 
CE O	   488.6525 20   	     5.68E-6 % 9 	  2.78E-8 5 
CE L	   488.82 24   	     2.9E-6 % 11 	  1.4E-8 5 
CE K	   491.46 6   	     5.2E-5 % 18 	  2.6E-7 9 
CE M	   491.82 4   	     3.26E-6 % 15 	  1.60E-8 7 
CE N	   493.19 4   	     7.3E-7 % 3 	  3.62E-9 17 
CE O	   493.51 4   	     1.09E-7 % 5 	  5.37E-10 25 
CE M	   494.84 24   	     6.2E-7 % 23 	  3.1E-9 11 
CE N	   496.21 24   	     1.4E-7 % 5 	  7E-10 3 
CE O	   496.53 24   	     2.1E-8 % 8 	  1.0E-10 4 
CE K	   509.65 10   	     5.15E-5 % 19 	  2.63E-7 10 
CE K	   514.43 17   	     1.11E-5 % 19 	  5.7E-8 10 
CE L	   515.39 5   	     2.9E-5 % 6 	  1.5E-7 3 
CE K	   516.15 14   	     1.57E-4 % 15 	  8.1E-7 8 
CE K	   517.152 5   	     0.001397 % 24 	  7.22E-6 12 
CE K	   519.604 6   	     0.00149 % 17 	  7.8E-6 9 
CE M	   521.41 5   	     6.3E-6 % 11 	  3.3E-8 6 
CE N	   522.78 5   	     1.4E-6 % 3 	  7.4E-9 13 
CE O	   523.10 5   	     2.1E-7 % 5 	  1.12E-9 24 
CE L	   530.55 6   	     7.8E-6 % 18 	  4.1E-8 10 
CE M	   536.57 6   	     1.6E-6 % 3 	  8.8E-9 17 
CE N	   537.94 6   	     3.7E-7 % 7 	  2.0E-9 4 
CE O	   538.26 6   	     5.5E-8 % 11 	  3.0E-10 6 
CE L	   548.74 10   	     6.8E-6 % 3 	  3.73E-8 14 
CE L	   553.52 17   	     1.8E-6 % 3 	  1.00E-8 17 
CE M	   554.76 10   	     1.45E-6 % 5 	  8.0E-9 3 
CE L	   555.24 14   	     2.57E-5 % 24 	  1.43E-7 13 
CE N	   556.13 10   	     3.26E-7 % 13 	  1.81E-9 7 
CE L	   556.249 5   	     1.84E-4 % 3 	  1.021E-6 19 
CE O	   556.45 10   	     4.85E-8 % 18 	  2.70E-10 10 
CE L	   558.701 6   	     2.12E-4 % 18 	  1.19E-6 10 
CE M	   559.54 17   	     3.9E-7 % 7 	  2.2E-9 4 
CE N	   560.91 17   	     8.9E-8 % 15 	  5.0E-10 8 
CE O	   561.23 17   	     1.28E-8 % 22 	  7.2E-11 12 
CE M	   561.26 14   	     5.6E-6 % 5 	  3.2E-8 3 
CE M	   562.263 5   	     3.91E-5 % 7 	  2.20E-7 4 
CE N	   562.63 14   	     1.26E-6 % 12 	  7.1E-9 7 
CE O	   562.95 14   	     1.82E-7 % 17 	  1.02E-9 10 
CE N	   563.640 5   	     8.83E-6 % 17 	  4.98E-8 10 
CE O	   563.959 5   	     1.313E-6 % 23 	  7.40E-9 13 
CE M	   564.715 6   	     4.6E-5 % 4 	  2.59E-7 23 
